lr-AdamW,step,loss,global_step,epoch
0.0001,49,,,
,49,0.6156566143035889,49.0,0
0.0001,99,,,
,99,0.36409425735473633,99.0,0
0.0001,149,,,
,149,0.2395133525133133,149.0,1
0.0001,199,,,
,199,0.18426935374736786,199.0,1
0.0001,249,,,
,249,0.15702304244041443,249.0,2
0.0001,299,,,
,299,0.14655031263828278,299.0,2
0.0001,349,,,
,349,0.13857577741146088,349.0,2
0.0001,399,,,
,399,0.11997565627098083,399.0,3
0.0001,449,,,
,449,0.12017955631017685,449.0,3
0.0001,499,,,
,499,0.12055543810129166,499.0,4
0.0001,549,,,
,549,0.11706490814685822,549.0,4
0.0001,599,,,
,599,0.11060168594121933,599.0,5
0.0001,649,,,
,649,0.1128113716840744,649.0,5
0.0001,699,,,
,699,0.10688123106956482,699.0,5
0.0001,749,,,
,749,0.10514944791793823,749.0,6
0.0001,799,,,
,799,0.10378735512495041,799.0,6
0.0001,849,,,
,849,0.09776479005813599,849.0,7
0.0001,899,,,
,899,0.09855133295059204,899.0,7
0.0001,949,,,
,949,0.09512384235858917,949.0,8
0.0001,999,,,
